79.655,197,43.138
87.375,209,49.792
111,194,42
130.496,206.97,49.422
152.414,250.724,55.845
186.038,342.848,78.076
193.507,312.408,164.634
204.5,311.554,72.554
211.196,360.824,84.373
212.127,365.527,98.745
214.325,217.41,145.639
215.44,308.648,182.758
216.377,231.957,80.638
216.393,337.304,73.107
227.688,200.288,131.512
227.738,314.333,218.81
232.062,284.25,237.312
234.419,199.651,78.942
237.722,339.194,243.306
241.269,188.115,131.179
244.8,196.133,81.16
247.5,364.643,225
260.796,383.408,173.969
266.536,173.643,171.411
267.688,253.935,45.701
270.29,274.452,123.887
271.692,298.308,177.192
278,340.357,331.857
279.542,219,76.203
281.333,341.833,194.833
282.359,309.234,42.266
284.57,257.314,51.698
286.878,217.367,69.612
287.312,267.156,61.719
294.081,211.839,76.532
294.526,379.602,151.383
298,332.281,376.594
298.912,324.176,48.412
300.259,169.907,191.222
300.333,379.667,138.148
302.192,257.019,118.769
306.868,224.942,149.38
307.838,318.044,390.985
309.534,412.329,168.932
309.838,384.189,148.216
313.301,437.132,174.059
316.266,274.223,181.532
317.235,336.588,398.971
318.964,415.018,168.75
320.773,283.773,365.273
321,443.432,175.297
323.647,324.353,461.353
324.707,331.24,167.107
327.211,265.175,193.649
333.333,244.639,139.389
339.13,241.528,152.553
360,324,136.5
361.294,329.412,158.206
370.978,289.413,114.522
377.189,264.041,181.973
387.905,319.405,113.571
387.932,309.425,108.151
407.243,305.7,100.671
415,282.5,67.5
450.5,230.5,46