162.976,255.439,55.707
200.333,278.567,68.05
220.38,224.28,68.64
243.088,298.765,183.088
243.567,374.733,215.267
245.567,249.267,155.267
257.851,191.511,68.255
265.703,300.108,146.986
274.957,196.553,67.362
279.56,246.147,174.133
283.549,261.689,107.09
283.99,165.981,189.913
293,234.5,146.682
293.812,273.854,135.75
293.221,261.756,105.395
296.15,318.55,59.9
307,316.5,415
334.5,317.864,164.636
396.597,319.522,99.687
398.442,303.404,79.769
406.089,306.018,69.446
412.762,285.643,56.381
425,290.763,58.949
435.01,228.469,39.388
435.446,237.708,51.415
449.625,259.019,56.154